AIRPORT_ID,STATE,CITY,IATA_CODE
12758,HI,Kona,KOA
12819,AK,Ketchikan,KTN
12884,MI,Lansing,LAN
12888,WY,Laramie,LAR
12889,NV,Las Vegas,LAS
12891,OK,Lawton/Fort Sill,LAW
12892,CA,Los Angeles,LAX
12896,TX,Lubbock,LBB
12898,PA,Latrobe,LBE
12899,NE,North Platte,LBF
12902,KS,Liberal,LBL
12915,LA,Lake Charles,LCH
12917,OH,Columbus,LCK
12945,KY,Lexington,LEX
12951,LA,Lafayette,LFT
12953,NY,New York,LGA
12954,CA,Long Beach,LGB
12982,HI,Lihue,LIH
12992,AR,Little Rock,LIT
13029,NE,Lincoln,LNK
13061,TX,Laredo,LRD
13076,WI,La Crosse,LSE
13121,WV,Lewisburg,LWB
13127,ID,Lewiston,LWS
13139,VA,Lynchburg,LYH
13158,TX,Midland/Odessa,MAF
13184,MI,Saginaw/Bay City/Midland,MBS
13198,MO,Kansas City,MCI
13204,FL,Orlando,MCO
13211,IA,Mason City,MCW
13230,PA,Harrisburg,MDT
13232,IL,Chicago,MDW
13241,MS,Meridian,MEI
13244,TN,Memphis,MEM
13256,TX,Mission/McAllen/Edinburg,MFE
13264,OR,Medford,MFR
13277,AL,Montgomery,MGM
13290,KS,Manhattan/Ft. Riley,MHK
13296,NH,Manchester,MHT
13303,FL,Miami,MIA
13342,WI,Milwaukee,MKE
13344,MI,Muskegon,MKG
13360,FL,Melbourne,MLB
13367,IL,Moline,MLI
13377,LA,Monroe,MLU
13422,AL,Mobile,MOB
13433,ND,Minot,MOT
13459,MI,Marquette,MQT
13476,CA,Monterey,MRY
13485,WI,Madison,MSN
13486,MT,Missoula,MSO
13487,MN,Minneapolis,MSP
13495,LA,New Orleans,MSY
13502,CO,Montrose/Delta,MTJ
13541,MA,Martha's Vineyard,MVY
13577,SC,Myrtle Beach,MYR
13795,NC,Jacksonville/Camp Lejeune,OAJ
13796,CA,Oakland,OAK
13829,UT,Ogden,OGD
13830,HI,Kahului,OGG
13832,NY,Ogdensburg,OGS
13851,OK,Oklahoma City,OKC
13871,NE,Omaha,OMA
13873,AK,Nome,OME
13891,CA,Ontario,ONT
13930,IL,Chicago,ORD
13931,VA,Norfolk,ORF
13933,MA,Worcester,ORH
13964,OR,North Bend/Coos Bay,OTH
13970,AK,Kotzebue,OTZ
13983,KY,Owensboro,OWB
14004,WA,Everett,PAE
14006,KY,Paducah,PAH
14025,NY,Plattsburgh,PBG
14027,FL,West Palm Beach/Palm Beach,PBI
14057,OR,Portland,PDX
14082,FL,Punta Gorda,PGD
14092,NC,Greenville,PGV
14098,VA,Newport News/Williamsburg,PHF
14100,PA,Philadelphia,PHL
14107,AZ,Phoenix,PHX
14108,IL,Peoria,PIA
14109,MS,Hattiesburg/Laurel,PIB
14112,FL,St. Petersburg,PIE
14113,ID,Pocatello,PIH
