station_id,airport_id,state,city,IATA_CODE,longitude,latitude,elevation
USW00013737,13931,VA,Norfolk,ORF,-76.1928,36.9036,3.4
USW00013740,14524,VA,Richmond,RIC,-77.3233,37.5117,50.6
USW00013744,11699,SC,Florence,FLO,-79.7308,34.1878,43.0
USW00013748,12323,NC,Wilmington,ILM,-77.9,34.2667,7.0
USW00013781,12320,DE,Wilmington,ILG,-75.6056,39.6744,22.6
USW00013838,13422,AL,Mobile,MOB,-88.0631,30.6147,4.9
USW00013839,11308,AL,Dothan,DHN,-85.4433,31.3178,112.2
USW00093843,11308,AL,Dothan,DHN,-85.4333,31.2333,97.8
USW00013869,10146,GA,Albany,ABY,-84.1958,31.5364,58.2
USW00013876,10599,AL,Birmingham,BHM,-86.745,33.5656,187.8
USW00013880,10994,SC,Charleston,CHS,-80.0408,32.8994,11.9
USW00013881,11057,NC,Charlotte,CLT,-80.9544,35.2225,222.5
USW00013882,10980,TN,Chattanooga,CHA,-85.2003,35.0336,203.9
USW00013891,15412,TN,Knoxville,TYS,-83.9858,35.8181,296.0
USW00013893,13244,TN,Memphis,MEM,-89.9864,35.0564,76.5
USW00013895,13277,AL,Montgomery,MGM,-86.4075,32.2997,66.1
USW00013897,10693,TN,Nashville,BNA,-86.6881,36.1106,178.9
USW00013899,14193,FL,Pensacola,PNS,-87.1858,30.4761,36.0
USW00013942,13377,LA,Monroe,MLU,-92.03,32.5156,22.3
USW00013959,10155,TX,Waco,ACT,-97.2283,31.6181,151.8
USW00053952,10155,TX,Waco,ACT,-97.3164,31.4847,180.4
USW00013962,10136,TX,Abilene,ABI,-99.6819,32.4106,544.7
USW00013963,12992,AR,Little Rock,LIT,-92.2358,34.7272,76.5
USW00013966,14960,TX,Wichita Falls,SPS,-98.493,33.9786,308.8
USW00013968,15370,OK,Tulsa,TUL,-95.8783,36.1986,194.8
USW00053908,15370,OK,Tulsa,TUL,-95.9903,36.0425,189.0
USW00013970,10781,LA,Baton Rouge,BTR,-91.1469,30.5378,20.4
USW00013976,12951,LA,Lafayette,LFT,-91.9894,30.1986,10.7
USW00013987,12511,MO,Joplin,JLN,-94.4953,37.1522,296.3
USW00014604,14231,ME,Presque Isle/Houlton,PQI,-68.05,46.6833,1480.1
USW00014606,10581,ME,Bangor,BGR,-68.8186,44.7978,44.8
USW00014710,13296,NH,Manchester,MHT,-71.4356,42.9297,69.8
USW00014734,11618,NJ,Newark,EWR,-74.1692,40.6828,1.8
USW00014735,10257,NY,Albany,ALB,-73.7992,42.7472,85.3
USW00014738,10577,NY,Binghamton,BGM,-76.1,42.0833,253.9
USW00014742,10785,VT,Burlington,BTV,-73.15,44.4683,101.2
USW00014751,13230,PA,Harrisburg,MDT,-76.8553,40.2183,102.1
USW00014756,10154,MA,Nantucket,ACK,-70.0589,41.2542,11.3
USW00014758,12244,CT,New Haven,HVN,-72.8892,41.2589,1.8
USW00014762,14122,PA,Pittsburgh,PIT,-79.9214,40.355,379.2
USW00014771,15096,NY,Syracuse,SYR,-76.1039,43.1111,125.0
USW00014778,12365,PA,Williamsport,IPT,-76.9217,41.2431,159.7
USW00014813,10874,OH,Akron,CAK,-81.4633,41.0372,318.2
USW00014895,10874,OH,Akron,CAK,-81.4433,40.9181,368.8
USW00014822,11433,MI,Detroit,DTW,-83.0089,42.4072,189.9
USW00014853,11433,MI,Detroit,DTW,-83.5264,42.2367,215.8
USW00094847,11433,MI,Detroit,DTW,-83.3311,42.2311,192.0
USW00014830,11986,MI,Grand Rapids,GRR,-85.6667,42.9,213.1
USW00014836,12884,MI,Lansing,LAN,-84.5997,42.7761,261.2
USW00014837,13485,WI,Madison,MSN,-89.3453,43.1406,261.8
USW00014839,13342,WI,Milwaukee,MKE,-87.9044,42.955,203.3
USW00014840,13344,MI,Muskegon,MKG,-86.2369,43.1711,190.2
USW00014841,14150,MI,Pellston,PLN,-84.7928,45.5644,215.2
USW00014844,14512,IL,Rockford,RFD,-89.05,42.35,225.9
USW00094822,14512,IL,Rockford,RFD,-89.0933,42.1933,221.0
USW00014849,15295,OH,Toledo,TOL,-83.4667,41.5667,193.9
USW00094830,15295,OH,Toledo,TOL,-83.8053,41.5869,205.4
USW00014850,15380,MI,Traverse City,TVC,-85.5678,44.7389,185.3
USW00014860,11577,PA,Erie,ERI,-80.1822,42.0803,222.2
USW00014905,11468,NE,Kearney,EAR,-99.0,40.7333,649.2
USW00014914,11637,ND,Fargo,FAR,-96.812,46.9242,272.8
USW00014916,11898,ND,Grand Forks,GFK,-97.1831,47.9428,255.4
USW00014919,12519,ND,Jamestown,JMS,-98.6703,46.9258,455.7
USW00014920,13076,WI,La Crosse,LSE,-91.2531,43.8792,198.1
USW00014923,13367,IL,Moline,MLI,-90.5236,41.4481,175.6
USW00014925,14633,MN,Rochester,RST,-92.4919,43.9039,398.1
USW00014933,11423,IA,Des Moines,DSM,-93.6531,41.5339,286.2
USW00014935,11980,NE,Grand Island,GRI,-98.3131,40.9614,561.7
USW00014939,13029,NE,Lincoln,LNK,-96.7647,40.8478,356.6
USW00014940,13211,IA,Mason City,MCW,-93.3261,43.1544,362.1
USW00014943,15048,IA,Sioux City,SUX,-96.3794,42.3917,332.8
USW00014946,10409,SD,Watertown,ATY,-97.1494,44.9044,530.7
USW00014990,11003,IA,Cedar Rapids/Iowa City,CID,-91.7247,41.8831,256.0
USW00021504,12402,HI,Hilo,ITO,-155.0489,19.7192,8.8
USW00022010,11415,TX,Del Rio,DRT,-100.9269,29.3783,305.7
USW00022516,13830,HI,Kahului,OGG,-156.4344,20.8886,14.0
USW00022521,12173,HI,Honolulu,HNL,-157.9394,21.3239,1.8
USW00022536,12982,HI,Lihue,LIH,-159.3386,21.9806,32.0
USW00023020,12902,KS,Liberal,LBL,-100.9667,37.05,875.7
USW00023043,14588,NM,Roswell,ROW,-104.5333,33.4,1106.1
USW00023044,11540,TX,El Paso,ELP,-106.3775,31.8122,1202.1
USW00023049,14674,NM,Santa Fe,SAF,-106.0958,35.6108,1916.3
USW00023050,10140,NM,Albuquerque,ABQ,-106.6156,35.0419,1618.5
USW00023063,11503,CO,Eagle,EGE,-106.9167,39.65,1980.3
USW00023064,11867,KS,Garden City,GCK,-100.7242,37.9219,877.2
USW00023129,12954,CA,Long Beach,LGB,-118.1472,33.8117,10.4
USW00023152,10800,CA,Burbank,BUR,-118.3656,34.1997,222.8
USW00023155,10561,CA,Bakersfield,BFL,-119.0553,35.4342,149.4
USW00023157,10617,CA,Bishop,BIH,-118.3589,37.3711,1252.7
USW00023160,15376,AZ,Tucson,TUS,-110.9564,32.1317,777.5
USW00023173,12889,NV,Las Vegas,LAS,-115.0333,36.2333,573.9
USW00053127,12889,NV,Las Vegas,LAS,-115.1325,35.9761,749.2
