type,elevation_ft,iata_code
heliport,621,NA
heliport,1446,NA
heliport,359,NA
small_airport,4364,NA
small_airport,2010,NA
heliport,200,NA
heliport,7,NA
small_airport,675,NA
small_airport,5180,NA
heliport,445,NA
heliport,415,NA
small_airport,968,NA
small_airport,830,NA
small_airport,3500,NA
heliport,110,NA
heliport,485,NA
small_airport,1210,NA
small_airport,647,NA
small_airport,276,NA
small_airport,950,NA
small_airport,750,NA
small_airport,608,NA
small_airport,7720,NA
small_airport,445,NA
heliport,68,NA
heliport,2220,NA
small_airport,958,NA
small_airport,1570,NA
heliport,3664,NA
small_airport,105,NA
small_airport,1455,NA
small_airport,260,NA
small_airport,425,NA
heliport,415,NA
small_airport,499,NA
heliport,1280,NA
seaplane_base,115,NA
heliport,1942,NA
heliport,520,NA
small_airport,5100,NA
small_airport,28,NA
small_airport,105,NA
heliport,3,NA
heliport,1065,NA
seaplane_base,536,NA
small_airport,880,NA
small_airport,2750,NA
small_airport,708,NA
small_airport,695,NA
heliport,1332,NA
heliport,NA,NA
heliport,85,NA
heliport,210,NA
heliport,132,NA
heliport,649,NA
heliport,978,NA
small_airport,755,NA
small_airport,3541,NA
small_airport,523,NA
small_airport,163,NA
small_airport,2180,NA
heliport,1015,NA
small_airport,160,NA
small_airport,5556,NA
small_airport,1100,NA
heliport,1020,NA
small_airport,1160,NA
small_airport,915,NA
heliport,900,NA
small_airport,850,NA
small_airport,1440,NA
heliport,727,NA
heliport,760,NA
small_airport,480,NA
small_airport,129,NA
small_airport,640,NA
small_airport,2165,NA
small_airport,215,NA
small_airport,1160,NA
heliport,2013,NA
small_airport,394,NA
small_airport,784,NA
small_airport,546,NA
small_airport,1068,NA
small_airport,357,NA
heliport,132,NA
small_airport,1408,NA
small_airport,300,NA
small_airport,360,NA
small_airport,100,NA
small_airport,6620,NA
small_airport,8,OCA
small_airport,750,NA
small_airport,335,NA
seaplane_base,538,NA
small_airport,971,NA
heliport,740,NA
small_airport,750,NA
small_airport,1717,NA
small_airport,1321,NA
small_airport,532,NA
heliport,80,NA
heliport,149,NA
small_airport,700,NA
heliport,250,NA
small_airport,1065,NA
small_airport,1680,NA
small_airport,880,NA
small_airport,2762,NA
small_airport,470,NA
small_airport,625,NA
seaplane_base,1404,NA
heliport,10,NA
small_airport,5120,NA
heliport,1320,NA
small_airport,1322,NA
small_airport,250,NA
small_airport,1690,NA
heliport,289,NA
small_airport,30,NA
small_airport,39,CUX
small_airport,690,NA
heliport,660,NA
small_airport,4480,NA
small_airport,350,NA
small_airport,801,NA
heliport,2110,NA
small_airport,4074,NA
heliport,451,NA
heliport,840,NA
small_airport,1289,NA
small_airport,200,NA
seaplane_base,8,NA
small_airport,892,NA
heliport,1240,NA
small_airport,65,NA
heliport,1810,NA
small_airport,1025,NA
heliport,270,NA
small_airport,5600,NA
seaplane_base,881,NA
small_airport,615,NA
small_airport,35,NA
small_airport,65,NA
small_airport,103,NA
heliport,960,NA
small_airport,12,NA
heliport,76,NA
small_airport,2680,NA
heliport,943,NA
seaplane_base,812,NA
small_airport,400,NA
small_airport,1250,NA
heliport,435,NA
small_airport,820,NA
heliport,4,NA
small_airport,665,NA
small_airport,51,NA
small_airport,360,NA
heliport,470,NA
small_airport,554,NA
heliport,1019,NA
seaplane_base,1372,NA
small_airport,955,NA
small_airport,345,NA
small_airport,3450,NA
small_airport,550,NA
small_airport,750,NA
small_airport,1990,NA
small_airport,1467,NA
heliport,574,NA
heliport,429,NA
small_airport,2150,NA
small_airport,650,NA
small_airport,1230,NA
small_airport,635,NA
small_airport,1518,NA
small_airport,4990,NA
heliport,1812,NA
heliport,310,NA
small_airport,130,NA
heliport,1523,NA
heliport,1208,NA
small_airport,820,NA
small_airport,2054,NA
small_airport,1040,NA
small_airport,6397,NA
small_airport,7175,NA
small_airport,1000,NA
small_airport,280,NA
small_airport,45,NA
heliport,5742,NA
small_airport,228,NA
heliport,218,NA
heliport,310,NA
small_airport,4970,NA
heliport,320,NA
