type,elevation_ft,iata_code
closed,NA,NA
closed,84,NA
small_airport,NA,NA
small_airport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
small_airport,NA,NA
small_airport,NA,NA
small_airport,NA,NA
closed,NA,NA
closed,NA,NA
closed,200,NA
closed,203,NA
closed,239,NA
closed,135,NA
closed,331,NA
closed,217,NA
small_airport,240,NA
small_airport,258,NA
small_airport,196,NA
small_airport,7126,NA
heliport,23,CHE
medium_airport,65,NA
small_airport,88,NA
heliport,NA,NA
heliport,NA,NA
small_airport,246,NA
medium_airport,18,KDL
medium_airport,14,URE
small_airport,289,NA
small_airport,NA,NA
small_airport,10,NA
small_airport,NA,NA
small_airport,20,NA
small_airport,44,NA
small_airport,92,NA
small_airport,233,NA
small_airport,NA,NA
heliport,NA,NA
medium_airport,47,EPU
small_airport,220,NA
small_airport,295,NA
small_airport,302,NA
small_airport,10,NA
medium_airport,108,EES
heliport,16,NA
heliport,NA,NA
small_airport,NA,NA
large_airport,131,TLL
small_airport,31,NA
medium_airport,220,TAY
small_airport,249,NA
small_airport,23,NA
heliport,30,NA
small_airport,275,NA
small_airport,738,NA
small_airport,95,NA
small_airport,407,NA
heliport,75,NA
heliport,1584,NA
medium_airport,1005,ENF
small_airport,259,NA
small_airport,325,NA
small_airport,46,NA
medium_airport,479,KEV
heliport,7,HEN
heliport,440,NA
large_airport,179,HEL
small_airport,7,NA
small_airport,449,NA
small_airport,20,NA
heliport,43,NA
small_airport,315,NA
heliport,194,NA
small_airport,430,HYV
heliport,69,NA
small_airport,384,NA
small_airport,381,NA
small_airport,338,NA
medium_airport,364,KTQ
medium_airport,481,IVL
heliport,397,NA
small_airport,NA,NA
small_airport,505,NA
medium_airport,398,JOE
small_airport,NA,NA
heliport,459,NA
medium_airport,459,JYV
medium_airport,151,KAU
medium_airport,61,KEM
small_airport,7,NA
small_airport,571,NA
medium_airport,483,KAJ
medium_airport,407,KHJ
medium_airport,84,KOK
small_airport,692,NA
small_airport,338,NA
small_airport,43,NA
small_airport,348,NA
medium_airport,866,KAO
medium_airport,644,KTT
medium_airport,323,KUO
small_airport,502,NA
small_airport,223,NA
small_airport,502,NA
small_airport,328,NA
small_airport,374,NA
medium_airport,349,LPP
heliport,341,NA
medium_airport,17,MHQ
small_airport,331,NA
medium_airport,329,MIK
small_airport,40,NA
small_airport,135,NA
small_airport,233,NA
small_airport,367,NA
small_airport,331,NA
medium_airport,47,OUL
small_airport,853,NA
heliport,171,NA
small_airport,148,NA
heliport,400,NA
small_airport,390,NA
heliport,561,NA
small_airport,253,NA
medium_airport,44,POR
medium_airport,72,NA
heliport,436,NA
small_airport,397,NA
small_airport,528,NA
small_airport,476,NA
small_airport,118,NA
small_airport,292,NA
medium_airport,642,RVN
small_airport,541,NA
small_airport,515,NA
small_airport,407,NA
medium_airport,311,SVL
small_airport,417,NA
medium_airport,302,SJY
medium_airport,602,SOT
small_airport,541,NA
small_airport,16,NA
medium_airport,390,TMP
medium_airport,161,TKU
heliport,75,NA
medium_airport,339,UTI
medium_airport,19,VAA
small_airport,361,NA
small_airport,443,NA
small_airport,295,NA
medium_airport,286,VRK
small_airport,400,NA
small_airport,NA,NA
small_airport,82,NA
medium_airport,252,YLI
small_airport,NA,NA
small_airport,NA,NA
medium_airport,NA,NA
small_airport,1296,NA
small_airport,30,NA
small_airport,52,NA
heliport,157,NA
heliport,157,NA
heliport,262,NA
closed,20,NA
heliport,52,NA
heliport,203,NA
heliport,72,NA
heliport,292,NA
heliport,194,NA
heliport,666,NA
small_airport,3,NA
heliport,85,NA
heliport,16,NA
heliport,138,NA
closed,59,NA
heliport,295,NA
heliport,249,NA
heliport,617,NA
heliport,702,NA
heliport,663,NA
heliport,151,NA
heliport,56,NA
heliport,5128,NA
heliport,92,NA
heliport,105,NA
small_airport,16,NA
heliport,20,NA
heliport,36,NA
heliport,75,NA
heliport,43,NA
heliport,43,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,43,NA
heliport,30,NA
heliport,66,NA
heliport,3,NA
heliport,72,NA
heliport,3,NA
heliport,1732,NA
heliport,102,NA
heliport,-36,NA
heliport,3,NA
heliport,46,NA
heliport,42,NA
heliport,36,NA
heliport,46,NA
heliport,33,NA
heliport,528,NA
small_airport,528,NA
small_airport,NA,NA
heliport,800,TFR
small_airport,NA,NA
heliport,NA,NA
heliport,318,NA
heliport,NA,NA
heliport,NA,NA
heliport,574,NA
heliport,NA,NA
heliport,NA,NA
heliport,160,NA
heliport,12,NA
closed,NA,NA
closed,NA,NA
closed,33,NA
heliport,295,NA
heliport,131,NA
heliport,79,NA
heliport,1316,NA
closed,30,NA
closed,-6,NA
closed,98,NA
small_airport,43,AUE
small_airport,250,NA
small_airport,NA,NA
small_airport,467,NA
large_airport,268,BFS
medium_airport,155,ENK
medium_airport,15,BHD
small_airport,9,NA
medium_airport,22,LDY
small_airport,103,NA
small_airport,9,NA
small_airport,4740,NA
large_airport,327,BHX
heliport,213,NA
small_airport,175,NA
medium_airport,267,CVT
small_airport,270,NA
small_airport,469,NA
medium_airport,101,GLO
small_airport,429,ORM
small_airport,439,NA
medium_airport,138,NQT
small_airport,283,NA
small_airport,433,GBA
small_airport,318,NA
small_airport,448,NA
heliport,502,NA
small_airport,159,NA
small_airport,750,NA
small_airport,73,NA
large_airport,257,MAN
small_airport,11,NA
small_airport,45,NA
heliport,39,NA
small_airport,26,NA
small_airport,1,NA
small_airport,8,NA
small_airport,58,NA
small_airport,301,NA
small_airport,275,NA
small_airport,233,NA
medium_airport,27,NA
small_airport,574,UPV
medium_airport,407,NA
small_airport,456,NA
small_airport,295,NA
heliport,NA,NA
medium_airport,267,NA
small_airport,151,NA
medium_airport,163,NA
medium_airport,75,YEO
heliport,300,NA
medium_airport,42,CAL
medium_airport,10,EOI
small_airport,223,FIE
heliport,NA,NA
small_airport,100,WHS
small_airport,24,SKL
small_airport,21,COL
small_airport,40,NRL
small_airport,20,OBN
small_airport,91,PPW
small_airport,39,SOY
small_airport,68,NDY
small_airport,43,LWK
small_airport,29,WRY
small_airport,44,CSA
heliport,200,NA
small_airport,428,NA
heliport,NA,NA
small_airport,30,NA
medium_airport,159,HAW
medium_airport,220,CWL
medium_airport,299,SWS
small_airport,15,NA
medium_airport,622,BRS
medium_airport,80,LPL
large_airport,526,LTN
small_airport,811,NA
small_airport,398,LEQ
small_airport,116,ISC
small_airport,32,NA
small_airport,202,NA
medium_airport,38,BOH
medium_airport,44,SOU
small_airport,53,BBP
medium_airport,618,NA
small_airport,55,NA
small_airport,319,NA
small_airport,550,NA
medium_airport,390,NQY
small_airport,98,QUG
small_airport,184,NA
heliport,20,NA
small_airport,655,NA
small_airport,127,NA
medium_airport,290,ACI
medium_airport,336,GCI
medium_airport,277,JER
medium_airport,7,ESH
medium_airport,598,BQH
small_airport,600,NA
heliport,510,NA
small_airport,72,NA
large_airport,202,LGW
small_airport,69,NA
small_airport,222,NA
small_airport,650,NA
medium_airport,19,LCY
small_airport,249,NA
medium_airport,238,FAB
small_airport,240,NA
medium_airport,325,BBS
large_airport,83,LHR
small_airport,131,NA
small_airport,210,NA
small_airport,285,NA
heliport,220,NA
heliport,18,NA
small_airport,124,NA
medium_airport,49,SEN
medium_airport,13,LYX
small_airport,420,NA
small_airport,250,NA
small_airport,59,NA
small_airport,20,NA
medium_airport,190,CAX
small_airport,91,NA
small_airport,250,NA
small_airport,161,NA
medium_airport,34,BLK
small_airport,8,NA
medium_airport,121,HUY
medium_airport,173,BWF
medium_airport,681,LBA
medium_airport,55,WRT
heliport,670,NA
medium_airport,45,CEG
medium_airport,52,IOM
medium_airport,266,NCL
small_airport,86,NA
medium_airport,120,MME
small_airport,63,NA
medium_airport,306,EMA
small_airport,3,NA
small_airport,272,NA
medium_airport,1066,NA
small_airport,202,NA
medium_airport,249,NA
medium_airport,37,VLY
small_airport,37,NA
medium_airport,50,KOI
medium_airport,20,LSI
medium_airport,126,WIC
medium_airport,215,ABZ
medium_airport,31,INV
large_airport,26,GLA
small_airport,350,NA
large_airport,135,EDI
medium_airport,56,ILY
small_airport,399,NA
medium_airport,65,PIK
medium_airport,19,BEB
medium_airport,17,DND
medium_airport,26,SYY
medium_airport,5,BRR
small_airport,150,NA
small_airport,397,PSL
medium_airport,38,TRE
small_airport,NA,UNT
medium_airport,38,ADX
medium_airport,42,LMO
small_airport,210,NA
medium_airport,47,CBG
small_airport,6,NA
small_airport,26,NA
small_airport,183,NA
medium_airport,117,NWI
small_airport,-6,NA
small_airport,130,NA
small_airport,286,NA
small_airport,80,NA
small_airport,201,NA
small_airport,130,NA
small_airport,37,NA
small_airport,226,NA
large_airport,348,STN
small_airport,246,NA
small_airport,125,NA
small_airport,194,NA
small_airport,100,NA
small_airport,321,NA
small_airport,515,HYC
medium_airport,360,NA
small_airport,172,NA
medium_airport,102,EXT
small_airport,80,NA
small_airport,110,NA
medium_airport,270,OXF
small_airport,436,RCS
small_airport,330,NA
small_airport,332,NA
small_airport,839,NA
small_airport,250,NA
medium_airport,226,BEX
small_airport,259,NA
medium_airport,32,LKZ
medium_airport,33,MHZ
medium_airport,284,NA
medium_airport,286,FFD
heliport,3,NA
heliport,240,NA
small_airport,730,NA
medium_airport,288,BZZ
medium_airport,405,ODH
small_airport,297,NA
heliport,249,NA
medium_airport,272,NA
small_airport,206,NA
small_airport,370,NA
medium_airport,124,NHT
medium_airport,25,QCY
medium_airport,132,NA
medium_airport,29,NA
medium_airport,174,BEQ
medium_airport,273,NA
medium_airport,231,WTN
small_airport,228,NA
medium_airport,92,NA
medium_airport,218,NA
medium_airport,367,NA
medium_airport,75,KNF
medium_airport,244,MPN
small_airport,NA,NA
small_airport,1624,NA
heliport,1047,NA
heliport,650,NA
heliport,640,NA
small_airport,948,NA
heliport,931,NA
small_airport,NA,NA
small_airport,NA,NA
heliport,NA,NA
heliport,NA,NA
small_airport,NA,NA
heliport,NA,NA
small_airport,NA,NA
heliport,1545,NA
heliport,911,NA
small_airport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
small_airport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
small_airport,20,NA
closed,10,NA
small_airport,1520,NA
heliport,356,NA
heliport,11,NA
heliport,NA,NA
small_airport,11,NA
large_airport,-11,AMS
heliport,NA,NA
medium_airport,114,NA
medium_airport,375,MST
heliport,NA,NA
medium_airport,158,NA
small_airport,14,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
large_airport,74,EIN
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
medium_airport,17,GRQ
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
medium_airport,49,GLZ
heliport,1,NA
heliport,NA,NA
small_airport,40,NA
small_airport,3,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,125,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
medium_airport,3,DHR
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
medium_airport,-13,LEY
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
medium_airport,3,LWR
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
small_airport,6,NA
small_airport,1,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
medium_airport,-15,RTM
heliport,NA,NA
heliport,62,NA
heliport,98,NA
small_airport,30,NA
heliport,NA,NA
small_airport,14,NA
small_airport,17,NA
small_airport,276,NA
heliport,3,NA
heliport,NA,NA
medium_airport,114,ENS
small_airport,2,NA
medium_airport,72,UDE
heliport,37,NA
medium_airport,63,WOE
heliport,1,NA
small_airport,195,NA
heliport,135,NA
heliport,220,NA
small_airport,180,NA
small_airport,260,NA
small_airport,7,BYT
small_airport,250,NA
small_airport,150,BLY
small_airport,70,NNR
small_airport,256,NA
medium_airport,502,ORK
small_airport,240,NA
medium_airport,81,GWY
small_airport,6,NA
medium_airport,30,CFN
large_airport,242,DUB
small_airport,155,NA
heliport,107,NA
small_airport,489,NA
small_airport,250,NA
small_airport,610,NA
heliport,614,NA
small_airport,24,IOR
small_airport,40,INQ
small_airport,260,NA
small_airport,319,KKY
medium_airport,665,NOC
medium_airport,112,KIR
small_airport,20,LTR
medium_airport,319,NA
small_airport,230,NA
small_airport,15,IIA
seaplane_base,103,NA
small_airport,1,NA
large_airport,46,SNN
small_airport,281,NA
medium_airport,11,SXL
small_airport,75,NA
small_airport,39,NA
small_airport,200,NA
medium_airport,119,WAT
medium_airport,150,NA
small_airport,3077,EJN
small_airport,30,EJT
seaplane_base,NA,NA
small_airport,3,NA
heliport,NA,NA
medium_airport,82,AAR
heliport,NA,NA
small_airport,23,NA
small_airport,144,NA
large_airport,247,BLL
heliport,132,NA
seaplane_base,NA,NA
heliport,NA,NA
large_airport,17,CPH
small_airport,3274,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
medium_airport,97,EBJ
small_airport,15,NA
heliport,77,NA
small_airport,NA,NA
small_airport,NA,NA
small_airport,30,NA
heliport,NA,NA
small_airport,97,NA
small_airport,NA,NA
small_airport,NA,NA
small_airport,20,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
small_airport,NA,NA
small_airport,167,NA
small_airport,2,NA
heliport,NA,NA
small_airport,290,NA
heliport,NA,NA
small_airport,49,NA
heliport,NA,NA
small_airport,81,NA
medium_airport,170,KRP
small_airport,1,NA
small_airport,39,NA
small_airport,NA,NA
heliport,93,NA
heliport,263,NA
small_airport,25,BYR
small_airport,97,NA
medium_airport,16,MRW
small_airport,56,NA
small_airport,3,NA
heliport,110,NA
heliport,NA,NA
small_airport,53,NA
medium_airport,56,ODE
small_airport,88,NA
small_airport,131,NA
heliport,62,NA
small_airport,139,NA
heliport,NA,NA
medium_airport,146,RKE
medium_airport,52,RNN
small_airport,113,NA
small_airport,110,NA
medium_airport,24,SGD
heliport,NA,NA
small_airport,249,NA
heliport,NA,NA
heliport,NA,NA
heliport,29,NA
small_airport,115,NA
medium_airport,92,CNL
heliport,30,NA
medium_airport,141,SKS
heliport,305,NA
small_airport,1,NA
small_airport,7,NA
medium_airport,74,SQW
heliport,70,NA
heliport,68,NA
small_airport,1,NA
heliport,NA,NA
heliport,100,NA
medium_airport,23,TED
heliport,NA,NA
small_airport,75,NA
medium_airport,143,NA
medium_airport,280,FAE
small_airport,119,NA
medium_airport,17,STA
medium_airport,10,AAL
large_airport,1234,LUX
small_airport,1522,NA
small_airport,928,NA
heliport,NA,EMR
small_airport,1621,NA
heliport,1442,NA
medium_airport,69,AES
medium_airport,43,ANX
heliport,NA,NA
small_airport,50,NA
medium_airport,9,ALF
heliport,NA,NA
heliport,92,NA
heliport,NA,NA
heliport,10,NA
heliport,NA,NA
small_airport,1046,FDE
small_airport,300,NA
medium_airport,25,BNN
medium_airport,42,BOO
large_airport,170,BGO
medium_airport,490,BJF
medium_airport,42,BVG
medium_airport,57,KRS
heliport,NA,NA
heliport,39,NA
small_airport,2618,NA
small_airport,512,NA
heliport,NA,NA
heliport,377,NA
medium_airport,252,BDU
small_airport,656,NA
heliport,NA,NA
small_airport,10,NA
medium_airport,84,EVE
small_airport,152,NA
heliport,NA,NA
heliport,19,NA
medium_airport,2697,VDB
heliport,NA,NA
medium_airport,37,FRO
small_airport,986,NA
heliport,NA,NA
heliport,NA,NA
small_airport,390,NA
large_airport,681,OSL
small_airport,2260,NA
small_airport,89,NA
small_airport,729,HMR
medium_airport,86,HAU
heliport,NA,NA
medium_airport,266,HFT
small_airport,21,HAA
small_airport,28,NA
heliport,NA,NA
small_airport,710,NA
heliport,NA,NA
small_airport,30,NA
small_airport,689,NA
medium_airport,44,HVG
heliport,NA,NA
small_airport,39,NA
small_airport,92,NA
heliport,NA,NA
small_airport,1165,NA
medium_airport,204,KSU
small_airport,354,NA
small_airport,2770,GLL
medium_airport,283,KKN
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
small_airport,29,NA
medium_airport,78,LKN
small_airport,190,NA
heliport,555,NA
medium_airport,39,MEH
medium_airport,10,MOL
medium_airport,237,MJF
medium_airport,25,LKL
heliport,NA,NA
heliport,NA,NA
small_airport,7,OSY
medium_airport,63,NTB
heliport,NA,NA
heliport,NA,NA
medium_airport,28,OLA
small_airport,1830,NA
medium_airport,243,HOV
heliport,6,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
medium_airport,229,MQN
small_airport,20,NA
heliport,NA,NA
small_airport,571,NA
small_airport,400,NA
medium_airport,14,RVK
medium_airport,2054,RRS
small_airport,7,RET
heliport,NA,NA
small_airport,1381,NA
heliport,414,NA
medium_airport,174,RYG
medium_airport,88,LYR
small_airport,196,SDN
heliport,NA,NA
heliport,NA,NA
small_airport,1633,SOG
medium_airport,27,SVJ
small_airport,350,NA
medium_airport,11,SKN
heliport,NA,NA
medium_airport,463,SKE
medium_airport,160,SRP
medium_airport,16,SOJ
medium_airport,42,VAW
medium_airport,56,SSJ
small_airport,249,NA
heliport,NA,NA
large_airport,31,TOS
heliport,91,NA
medium_airport,286,TRF
heliport,93,NA
small_airport,1900,NA
small_airport,1581,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
small_airport,200,NA
heliport,213,NA
heliport,NA,NA
heliport,NA,NA
large_airport,56,TRD
medium_airport,127,VDS
small_airport,771,NA
heliport,12,VRY
heliport,140,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,197,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
large_airport,29,SVG
heliport,593,NA
small_airport,1455,NA
small_airport,1319,NA
small_airport,NA,NA
small_airport,352,NA
heliport,313,NA
small_airport,502,NA
medium_airport,235,BZG
small_airport,712,NA
medium_airport,495,NA
small_airport,10,NA
medium_airport,392,NA
small_airport,NA,NA
small_airport,NA,NA
small_airport,10,NA
large_airport,489,GDN
small_airport,NA,NA
small_airport,121,NA
small_airport,830,NA
small_airport,410,NA
small_airport,538,NA
small_airport,NA,NA
small_airport,407,NA
small_airport,NA,NA
small_airport,279,NA
medium_airport,259,NA
small_airport,3,NA
small_airport,1119,NA
small_airport,607,NA
small_airport,1834,NA
small_airport,1010,NA
small_airport,361,NA
small_airport,NA,NA
small_airport,417,NA
small_airport,564,NA
large_airport,791,KRK
small_airport,820,NA
small_airport,909,NA
small_airport,683,NA
small_airport,650,NA
small_airport,922,NA
medium_airport,265,NA
medium_airport,995,KTW
small_airport,839,NA
heliport,651,NA
medium_airport,633,LUZ
medium_airport,633,NA
medium_airport,604,LCJ
small_airport,791,NA
small_airport,310,NA
small_airport,512,NA
heliport,1411,NA
medium_airport,377,NA
medium_airport,16,NA
medium_airport,459,NA
small_airport,548,NA
medium_airport,604,NA
medium_airport,341,WMI
small_airport,495,NA
small_airport,325,NA
small_airport,NA,NA
small_airport,NA,NA
small_airport,830,NA
small_airport,512,NA
small_airport,2060,NA
small_airport,440,NA
small_airport,144,NA
small_airport,476,NA
small_airport,620,NA
small_airport,610,NA
small_airport,259,NA
small_airport,279,NA
small_airport,331,NA
medium_airport,308,POZ
small_airport,17,NA
small_airport,673,NA
medium_airport,371,NA
medium_airport,610,RDO
small_airport,398,NA
small_airport,840,NA
small_airport,655,NA
small_airport,479,NA
small_airport,280,NA
small_airport,860,CZW
medium_airport,693,RZE
medium_airport,154,SZZ
small_airport,3,NA
small_airport,NA,NA
small_airport,249,NA
medium_airport,385,NA
small_airport,833,NA
small_airport,492,NA
small_airport,581,NA
small_airport,659,NA
medium_airport,463,SZY
medium_airport,571,NA
small_airport,164,NA
small_airport,325,NA
large_airport,362,WAW
small_airport,220,NA
medium_airport,404,WRO
small_airport,390,NA
small_airport,751,NA
small_airport,268,NA
medium_airport,194,IEG
small_airport,315,NA
small_airport,NA,NA
small_airport,440,NA
small_airport,249,NA
small_airport,1260,NA
small_airport,NA,NA
small_airport,NA,NA
small_airport,NA,NA
small_airport,1946,NA
closed,NA,NA
small_airport,4678,NA
heliport,33,NA
small_airport,4200,ERT
small_airport,12,NA
small_airport,364,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
small_airport,3330,NA
small_airport,3346,NA
small_airport,2700,NA
small_airport,2024,NA
small_airport,1946,NA
small_airport,1200,NA
small_airport,45,NA
small_airport,1078,NA
small_airport,2700,NA
small_airport,NA,NA
small_airport,1350,NA
small_airport,NA,NA
small_airport,324,NA
small_airport,NA,NA
small_airport,NA,NA
small_airport,NA,NA
heliport,414,NA
small_airport,NA,NA
small_airport,262,NA
small_airport,NA,NA
small_airport,NA,NA
small_airport,NA,NA
small_airport,NA,NA
small_airport,3543,NA
small_airport,2200,NA
closed,NA,NA
small_airport,140,NA
small_airport,100,NA
small_airport,289,NA
small_airport,NA,NA
small_airport,NA,NA
closed,NA,NA
small_airport,2526,NA
small_airport,1936,NA
small_airport,2723,NA
small_airport,3675,NA
small_airport,1050,NA
small_airport,2241,NA
small_airport,NA,NA
small_airport,NA,NA
small_airport,NA,NA
small_airport,2559,NA
small_airport,2789,NA
small_airport,NA,NA
small_airport,1312,NA
small_airport,2440,NA
small_airport,NA,NA
small_airport,938,NA
small_airport,1903,NA
small_airport,3281,NA
small_airport,164,NA
small_airport,233,NA
small_airport,361,NA
seaplane_base,NA,NA
small_airport,300,NA
small_airport,722,NA
small_airport,886,NA
small_airport,2953,NA
small_airport,1509,NA
small_airport,3245,NA
small_airport,4101,NA
closed,NA,NA
small_airport,3068,NA
small_airport,144,NA
small_airport,2526,NA
small_airport,2589,NA
small_airport,2625,NA
small_airport,3396,NA
small_airport,2395,NA
small_airport,2444,NA
small_airport,1847,NA
small_airport,1903,NA
small_airport,1969,NA
small_airport,810,NA
small_airport,131,NA
small_airport,2789,NA
small_airport,3675,NA
small_airport,1903,NA
small_airport,3970,NA
small_airport,3019,NA
small_airport,NA,NA
small_airport,2871,NA
small_airport,604,NA
small_airport,2800,NA
small_airport,3806,NA
small_airport,2871,NA
small_airport,NA,NA
small_airport,2408,NA
small_airport,778,NA
small_airport,3281,NA
small_airport,3937,NA
small_airport,2264,NA
small_airport,2231,NA
small_airport,1608,NA
small_airport,2097,NA
small_airport,1476,NA
closed,3609,NA
small_airport,2648,NA
small_airport,1575,NA
small_airport,1860,NA
small_airport,2749,NA
small_airport,820,NA
medium_airport,1670,NA
small_airport,NA,NA
small_airport,2523,NA
closed,3510,NA
small_airport,1837,NA
small_airport,NA,NA
small_airport,2625,NA
small_airport,463,NA
small_airport,722,NA
small_airport,2123,NA
small_airport,656,NA
small_airport,4265,NA
closed,69,NA
small_airport,787,NA
small_airport,425,NA
small_airport,2740,NA
small_airport,213,NA
small_airport,10,NA
small_airport,NA,NA
small_airport,NA,NA
small_airport,NA,NA
small_airport,NA,NA
small_airport,302,NA
closed,3822,NA
small_airport,2549,NA
small_airport,2395,NA
small_airport,3445,NA
small_airport,NA,NA
small_airport,144,NA
small_airport,30,NA
small_airport,26,NA
small_airport,763,NA
closed,525,NA
small_airport,1978,NA
small_airport,1296,NA
small_airport,1788,NA
small_airport,2133,NA
small_airport,2658,NA
small_airport,1985,NA
small_airport,1427,NA
small_airport,NA,NA
small_airport,1969,NA
small_airport,3937,NA
small_airport,1345,NA
small_airport,3297,NA
small_airport,2379,NA
small_airport,NA,NA
small_airport,2231,NA
small_airport,680,NA
small_airport,1837,NA
small_airport,NA,NA
small_airport,2074,NA
small_airport,1903,NA
small_airport,197,NA
small_airport,1726,NA
small_airport,1116,NA
small_airport,NA,NA
small_airport,7,NA
small_airport,131,NA
small_airport,3068,NA
small_airport,443,NA
small_airport,574,NA
small_airport,591,NA
small_airport,1345,NA
small_airport,3215,NA
small_airport,960,NA
small_airport,2756,NA
small_airport,735,NA
small_airport,1975,NA
small_airport,807,NA
closed,1641,NA
small_airport,1742,NA
small_airport,1034,NA
small_airport,1017,NA
small_airport,951,NA
small_airport,2215,NA
small_airport,1575,NA
small_airport,2690,NA
small_airport,157,NA
small_airport,2270,NA
small_airport,1034,NA
small_airport,3183,NA
small_airport,2133,NA
small_airport,69,NA
small_airport,NA,NA
small_airport,1135,NA
small_airport,2822,NA
small_airport,2362,NA
small_airport,2297,NA
small_airport,1772,NA
small_airport,23,NA
small_airport,673,NA
small_airport,52,NA
small_airport,1329,NA
small_airport,984,NA
small_airport,2959,NA
small_airport,476,NA
small_airport,2625,NA
small_airport,2740,NA
small_airport,2198,NA
small_airport,449,NA
small_airport,2307,NA
small_airport,72,NA
small_airport,3123,NA
small_airport,656,NA
small_airport,3215,NA
small_airport,NA,NA
small_airport,1985,NA
small_airport,1936,NA
small_airport,1742,NA
small_airport,3117,NA
small_airport,2871,NA
small_airport,2674,NA
heliport,2067,NA
small_airport,2575,NA
small_airport,2067,NA
small_airport,1394,NA
closed,1936,NA
closed,495,NA
closed,1641,NA
small_airport,722,NA
small_airport,NA,NA
small_airport,515,NA
small_airport,NA,NA
small_airport,164,NA
small_airport,NA,NA
heliport,NA,NA
heliport,2033,NA
small_airport,1496,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
small_airport,NA,NA
small_airport,NA,NA
heliport,NA,NA
closed,NA,NA
small_airport,NA,NA
small_airport,NA,NA
small_airport,NA,NA
small_airport,NA,NA
closed,2963,NA
closed,1772,NA
closed,NA,NA
heliport,40,NA
small_airport,2887,NA
small_airport,NA,NA
heliport,NA,NA
closed,NA,NA
heliport,NA,NA
small_airport,NA,NA
small_airport,NA,NA
closed,NA,NA
small_airport,2067,NA
small_airport,2674,NA
small_airport,1969,NA
small_airport,NA,NA
small_airport,66,NA
closed,NA,NA
closed,394,NA
small_airport,3366,NA
heliport,1020,NA
heliport,NA,NA
heliport,NA,NA
heliport,1955,NA
small_airport,2736,NA
heliport,NA,NA
small_airport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,NA,NA
heliport,2291,NA
heliport,2663,NA
heliport,2306,NA
heliport,NA,NA
heliport,3087,NA
heliport,NA,NA
heliport,2277,NA
heliport,2480,NA
heliport,2100,NA
heliport,2402,NA
